"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"gps_tagID"	"sex"	"lat"	"lon"	"caught_time"	"dead"
2017	"270170152"	"M"	"Y"	"O,R"	"O"	NA	"F"	71.3227996826172	-156.636993408203	2017-06-21 16:15:00	0
2017	"270170153"	"M"	"Y"	NA	"COBA"	NA	"M"	71.3217010498047	-156.626998901367	2017-06-21 15:00:00	1
2017	"270170154"	"M"	"Y"	"O,R"	"Y"	NA	"F"	71.3219985961914	-156.651000976562	2017-06-22 10:41:00	0
2017	"270170155"	"M"	"Y"	"O,R"	"G"	NA	"M"	71.322998046875	-156.647994995117	2017-06-22 10:58:00	0
2017	"270170156"	"M"	"Y"	"DB"	"DB,DB"	NA	"F"	71.3224029541016	-156.64599609375	2017-06-22 11:28:00	0
2017	"270170157"	"M"	"Y"	"DB"	"DB,G"	NA	"M"	71.3203964233398	-156.639999389648	2017-06-22 12:13:00	0
2017	"270170158"	"M"	"Y"	"DB"	"DB,R"	NA	"F"	71.3203964233398	-156.639999389648	2017-06-22 12:13:00	0
2017	"270170159"	"M"	"Y"	"DB"	"DB,W"	NA	"F"	71.3195037841797	-156.623992919922	2017-06-22 13:42:00	0
2017	"270170160"	"M"	"Y"	"DB"	"DB,Y"	NA	"F"	71.3208999633789	-156.632995605469	2017-06-22 14:39:00	0
2017	"270170161"	"M"	"Y"	"DB"	"G,G"	NA	"M"	71.3208999633789	-156.632995605469	2017-06-22 14:42:00	0
2017	"270170162"	"M"	"Y"	"DB"	"G,DB"	NA	"M"	71.320198059082	-156.628997802734	2017-06-22 15:20:00	0
2017	"270170163"	"M"	"Y"	"DB"	"G,R"	NA	"F"	71.320198059082	-156.638000488281	2017-06-22 15:44:00	0
2017	"270170164"	"M"	"Y"	"DB"	"G,W"	NA	"F"	71.3205032348633	-156.636993408203	2017-06-22 16:08:00	0
2017	"270170165"	"M"	NA	NA	"COBA"	NA	"M"	71.3211975097656	-156.639007568359	2017-06-22 16:38:00	1
2017	"270170166"	"M"	"Y"	"DB"	"G,Y"	NA	"F"	71.3227996826172	-156.628997802734	2017-06-23 11:32:00	0
2017	"270170167"	"M"	"Y"	"DB"	"R,DB"	NA	"F"	71.3235015869141	-156.628005981445	2017-06-23 11:55:00	0
2017	"270170168"	"M"	"Y"	"DB"	"R,R"	NA	"F"	71.3219985961914	-156.630004882812	2017-06-23 12:22:00	0
2017	"270170169"	"M"	"Y"	"DB"	"R,W"	NA	"M"	71.3216018676758	-156.630004882812	2017-06-23 12:55:00	0
2019	"270170169"	"M"	"Y"	"DB"	"R,W"	NA	"M"	71.324874	-156.626706	2019-06-01 17:14:00	0
2017	"270170170"	"M"	"Y"	"DB"	"R,Y"	NA	"F"	71.3216018676758	-156.630004882812	2017-06-23 12:55:00	0
2017	"270170171"	"M"	"Y"	"O"	"R,R"	NA	"M"	71.3203964233398	-156.634994506836	2017-06-23 14:21:00	0
2017	"270170172"	"M"	"Y"	"DB"	"W,DB"	NA	"F"	71.3227996826172	-156.626998901367	2017-06-24 12:06:00	0
2017	"270170173"	"M"	"Y"	"W"	"DB,Y"	NA	"M"	71.3223037719727	-156.628005981445	2017-06-24 12:34:00	0
2017	"270170174"	"M"	"Y"	"DB"	"W,G"	NA	"F"	71.3247985839844	-156.638000488281	2017-06-24 14:58:00	0
2017	"270170175"	"M"	"Y"	"DB"	"W,R"	NA	"M"	71.3227005004883	-156.630996704102	2017-06-24 16:25:00	0
2017	"270170176"	"M"	"Y"	"DB"	"W,W"	NA	"F"	71.3227005004883	-156.630996704102	2017-06-24 16:20:00	0
2017	"270170176"	"M"	"Y"	"DB"	"W,W"	NA	"F"	71.3224029541016	-156.63200378418	2017-07-17 12:09:00	1
2017	"270170177"	"M"	"Y"	"DB"	"W,Y"	NA	"F"	71.3208999633789	-156.636993408203	2017-06-26 12:00:00	0
2017	"270170178"	"M"	"Y"	"DB"	"Y,DB"	NA	"M"	71.3225021362305	-156.641006469727	2017-06-26 12:29:00	0
2017	"270170179"	"M"	"Y"	"DB"	"Y,R"	NA	"M"	71.3225021362305	-156.628997802734	2017-06-26 17:33:00	0
2018	"270170179"	"M"	"Y"	"DB"	"Y,R"	NA	"M"	71.3219528198242	-156.630661010742	2018-06-21 12:24:00	0
2017	"270170180"	"M"	"Y"	"DB"	"Y,G"	NA	"M"	71.3202972412109	-156.636001586914	2017-06-27 11:37:00	0
